dataset_id,dd_id,deployment
3056,452336,WB0506
3056,452337,WB0508
3057,452338,OC404-01
3057,452339,OC404-04
3057,452340,OC415-01
3057,452341,OC415-02
3057,452342,OC415-03
3057,452343,OC415-04
3058,452344,OC404-01
3058,452345,OC404-04
3058,452346,OC415-01
3058,452347,OC415-02
3058,452348,OC415-03
3059,452349,WB0409
3059,452350,WB0413
3059,452351,WB0506
3059,452352,WB0508
3060,452353,OC404-01
3060,452354,OC404-04
3060,452355,OC415-01
3060,452356,OC415-03
3061,452357,WB0409
3061,452358,WB0413
3061,452359,WB0506
3061,452360,WB0508
3062,452361,OC404-01
3062,452362,OC404-04
3062,452363,OC415-01
3062,452364,OC415-03
3063,452365,OC415-04
3064,452366,OC404-01
3064,452367,OC415-03
3064,452368,WB0409
3064,452369,WB0508
3065,452370,OC415-04
3066,452371,OC415-04
3067,452372,OC415-01
3067,452373,OC415-03
3069,452376,OC415-03
3070,452377,OC404-01
3070,452378,OC404-04
3071,452379,OC415-02
3071,452380,OC415-03
3071,452381,OC415-04
3072,452382,OC415-01
3072,452383,OC415-03
3072,452384,OC415-04
3073,452385,OC415-03
3074,452386,OC415-01
3074,452387,OC415-03
3074,452388,OC415-04
3075,452389,OC415-04
3076,452390,OC404-01
3076,452391,OC404-04
3076,452392,WB0409
3076,452393,WB0413
3077,452394,OC415-01
3078,452395,OC404-01
3078,452396,OC404-04
3078,452397,OC415-01
3078,452398,OC415-02
3078,452399,OC415-03
3078,452400,OC415-04
3079,452401,OC415-01
3079,452402,OC415-03
3079,452403,OC415-04
3080,452404,OC404-01
3080,452405,OC404-04
3080,452406,OC415-01
3080,452407,OC415-02
3080,452408,OC415-03
3080,452409,OC415-04
3081,452410,OC404-01
3081,452411,OC415-01
3081,452412,OC415-03
3081,452413,OC415-04
3082,452414,OC415-01
3082,452415,OC415-03
3083,452416,OC415-01
3107,452537,NBP-96-4
3107,452538,NBP-96-04A
3107,452539,NBP-96-5
3107,452540,NBP-97-01
3107,452541,NBP-97-03
3107,452542,NBP-97-08
3107,452543,NBP-98-2
3107,452544,KIWI6
3107,452545,KIWI7
3107,452546,KIWI8
3107,452547,KIWI9
3123,452645,NBP0601
3123,452646,NBP0608
3134,452660,KNOX22RR
3161,452698,USJGOFS_SMP
3162,452699,USJGOFS_SMP
3163,452700,USJGOFS_SMP
3164,452701,USJGOFS_SMP
3165,452702,USJGOFS_SMP
3166,452703,USJGOFS_SMP
3167,452704,USJGOFS_SMP
3168,452705,USJGOFS_SMP
3169,452706,USJGOFS_SMP
3170,452707,USJGOFS_SMP
3171,452708,USJGOFS_SMP
3172,452709,USJGOFS_SMP
3173,452710,USJGOFS_SMP
3174,452711,USJGOFS_SMP
3175,452712,USJGOFS_SMP
3176,452713,USJGOFS_SMP
3180,452726,USJGOFS_SMP
3181,452727,USJGOFS_SMP
3182,452728,USJGOFS_SMP
3183,452729,USJGOFS_SMP
3184,452730,USJGOFS_SMP
3185,452731,USJGOFS_SMP
3186,452732,USJGOFS_SMP
3187,452752,USJGOFS_SMP
3188,452733,USJGOFS_SMP
3189,452734,USJGOFS_SMP
3190,452735,USJGOFS_SMP
3191,452736,USJGOFS_SMP
3192,452737,USJGOFS_SMP
3193,452738,USJGOFS_SMP
3194,452739,USJGOFS_SMP
3195,452740,USJGOFS_SMP
3196,452741,USJGOFS_SMP
3197,452742,USJGOFS_SMP
3198,452743,USJGOFS_SMP
3199,452744,USJGOFS_SMP
3200,452745,USJGOFS_SMP
3201,452746,USJGOFS_SMP
3202,452747,USJGOFS_SMP
3203,452748,USJGOFS_SMP
3204,452749,USJGOFS_SMP
3205,452750,USJGOFS_SMP
3206,452751,USJGOFS_SMP
3210,452759,USJGOFS_SMP
3222,452784,KM0704
3222,454361,KM0715
3222,454362,KM0814
3222,454425,KM0817
3222,454426,MV1015
3222,454917,KM1125
3223,452785,NBP0601
3223,452786,NBP0608
3224,452787,KM0704
3224,452788,KM0817
