dd_id,deployment
449984,SJ990401
449985,SJ990501
449986,SJ990601
449987,W9907A
449988,SJ990701
449989,SJ990702
449990,SJ990703
449991,SJ990801
449992,SJ990802
449993,W9909C
449994,W9911A
449995,SJ991201
449996,SJ000101
449997,W0002A
449998,SJ000201
449999,SJ000301
450000,SJ000401
450001,W0004B
450002,SJ000402
450003,SJ000501
450004,SJ000502
450005,NH0005
450006,SJ000601
450007,W0007A
450008,NH0007
450009,W0009A
450010,EL000901
450011,EL001001
450012,EL001002
450013,EL001101
450014,EL001201
450015,EL010101
450016,W0101C
450017,EL010201
450018,EL010202
450019,EL010301
450020,W0103B
450021,EL010401
450022,EL010402
450023,EL010403
450024,EL010501
450025,EL010601
450026,EL010602
450027,EL010603
450028,W0107A
450029,EL010701
450030,EL010702
450031,EL010801
450032,EL010802
450033,EL010803
450034,W0109A
450035,EL010901
450036,EL010902
450037,EL011001
450038,EL011002
450039,EL011101
450040,W0111B
450041,EL020101
450042,EL020102
450043,W0202A
450044,EL020301
450045,EL020302
450046,EL020303
450047,W0204A
450048,EL020401
450049,EL020402
450050,EL020501
450051,EL020502
450052,W0205A
450053,EL020701
450054,W0207A
450055,EL020702
450056,NH0207
450057,AT7-21
450058,EL021001
450059,EL021101
450060,W0212A
450061,EL030101
450062,EL030201
450063,W0302A
450064,EL030202
450065,EL030302
450066,W0304A
450067,EL030401
450068,EL030402
450069,EL030501
450070,EL030502
450071,EL030601
450072,EL030602
450073,NH0307A
450074,EL030701
450075,EL030702
450076,EL030801
450077,EL030901
450078,EL030902
450079,W0309B
450080,EL031001
450081,W0004B
450082,AR9807
450083,AT7-21
450084,NH0307A
450085,W0002A
450086,W0004B
450087,W0007A
450088,W0009A
450089,W0101C
450090,W0103B
450091,W0107A
450092,W0109A
450093,W0111B
450094,W0202A
450095,W0204A
450096,W0207A
450097,W0212A
450098,W0302A
450099,W0304A
450100,W0309B
450101,W0408D
450102,W0409A
450103,W9707B
450104,W9709B
450105,W9711C
450106,W9801B
450107,W9804A
450108,W9808A
450109,W9809A
450110,W9811A
450111,W9902A
450112,W9904B
450113,W9907A
450114,W9909C
450115,W9911A
450116,W0002A
450117,W0004B
450118,W0007A
450119,W0009A
450120,W0101C
450121,W0103B
450122,W0107A
450123,W0109A
450124,W0111B
450125,W0202A
450126,W0204A
450127,W0207A
450128,AT7-21
450129,W0212A
450130,W0302A
450131,W0304A
450132,NH0307A
450133,W0309B
450134,NH0005
450135,NH0007
450136,NH0007
450137,NH0005
450138,NH0007
450139,NH0207
450140,R0208
450141,T0205
450142,W0005A
450143,W0008
450144,W0205A
450145,SE0005
450146,SE0007
450147,FR0206-01
450148,FR0208
450149,SE0005
450150,SE0007
450151,FR0206-01
450152,FR0208
450153,SE0005
450154,SE0007
450155,FR0206-01
450156,FR0208
